channel,n_total,n_train,n_val,train_loss,train_iou,train_dice,train_prec,train_rec,val_loss,val_iou,val_dice,val_prec,val_rec,note
EGFR,41,33,8,0.5751131122762506,0.5551153785652585,0.7024402419726054,0.5622737142774794,0.9786503182517158,0.5820381343364716,0.5430082380771637,0.6927552223205566,0.5545860528945923,0.9601803421974182,
CD138,41,33,8,0.5485819523984735,0.5838492843839858,0.7261591951052347,0.5995836787753634,0.9501393834749857,0.5576034784317017,0.5369980335235596,0.6908769607543945,0.5714731216430664,0.9154365360736847,
FoxP3,41,33,8,0.5717239488254894,0.5503435764047835,0.7012287179629008,0.573112255997128,0.9378661182191637,0.5792016386985779,0.5329651832580566,0.6856598258018494,0.5542730093002319,0.9382918477058411,
Vimentin,41,33,8,0.5587283887646415,0.5738915701707205,0.7190007103814019,0.5929068724314371,0.9472794400321113,0.5695689618587494,0.5308995246887207,0.6835235059261322,0.5545077323913574,0.9324196875095367,
Au,41,33,8,0.5351579478292754,0.5627472201983134,0.7069300578700172,0.6266863014962938,0.8262674080000983,0.5544013381004333,0.5300794094800949,0.6773084104061127,0.5915943682193756,0.8194485008716583,
Pan-Keratin,41,33,8,0.5668806487863715,0.5744913154178195,0.7194330427381728,0.5956438713603549,0.9428238670031229,0.5768307149410248,0.5232918709516525,0.6749479174613953,0.5533403158187866,0.8972018361091614,
H3K27me3,41,33,8,0.4556405481063958,0.6181412405437894,0.7580249839358859,0.6978714532322354,0.8506911595662435,0.49525900185108185,0.5026272237300873,0.6162755191326141,0.684634268283844,0.6880491077899933,
Ki67,41,33,8,0.572968020583644,0.513650870985455,0.6674936413764954,0.594686938656701,0.7807913753721449,0.5802159011363983,0.4956483095884323,0.6497342884540558,0.5561580061912537,0.8015489876270294,
Na,41,33,8,0.5385229804299094,0.5351340538925595,0.6840152442455292,0.564130038022995,0.916512151559194,0.5719320178031921,0.4861307889223099,0.647741973400116,0.5614483058452606,0.8452327847480774,
CSF-1R,41,33,8,0.5828704617240212,0.41285935375425553,0.580706861284044,0.5837851928340064,0.6187556915813022,0.5887915790081024,0.3927203267812729,0.5598879456520081,0.5525384545326233,0.6035051941871643,
H3K9ac,41,33,8,0.5459461176034176,0.36754412783516777,0.5156281308995353,0.8124926024013095,0.40944238669342464,0.5958469808101654,0.3082144558429718,0.4311154782772064,0.8144782185554504,0.34549374878406525,
Keratin6,41,33,8,0.5781964551318776,0.3195519629451964,0.4722422692510817,0.5931347343656752,0.4406653924120797,0.5869106948375702,0.28384843468666077,0.4324413686990738,0.5639975070953369,0.3926047682762146,
CD45,41,33,8,0.6016598054856965,0.06510669882926676,0.11277777598136002,0.6220442487133874,0.06833263662540251,0.6060920357704163,0.05256424471735954,0.09651943668723106,0.6142478585243225,0.05411026254296303,
phospho-S6,41,33,8,0.6603390484145193,0.05167393624368641,0.09330335880319278,0.6332911451657613,0.05588151985365483,0.6574466526508331,0.04118689335882664,0.07665200904011726,0.5218166708946228,0.043461576104164124,
CD11c,41,33,8,0.5913265799031113,0.03362227790057659,0.0642820547024409,0.5440378785133362,0.03466538940038946,0.5959591865539551,0.02992701157927513,0.057808294892311096,0.5632284581661224,0.03060991410166025,
PD1,41,33,8,0.5952980301596902,0.021791556436154578,0.04251174877087275,0.5224435279766718,0.022253463562164042,0.5990150570869446,0.02441631630063057,0.04742337204515934,0.538764238357544,0.024886544793844223,
HLA_Class_1,41,33,8,0.7683050993717078,0.0339056361052725,0.0640388276014063,0.6007810665501488,0.03475682230459319,0.771789014339447,0.021953837480396032,0.042579177767038345,0.5839800834655762,0.022376203909516335,
Segmentation,41,33,8,0.5983714316830491,0.018025710868338745,0.03540143846637673,0.5598404341273837,0.018299618115027744,0.6022900640964508,0.017761820927262306,0.034891754388809204,0.540310800075531,0.018059001304209232,
Keratin17,41,33,8,0.6025629242261251,0.017915861008481845,0.033507118829422526,0.5436101920074887,0.018834457215335634,0.6062260270118713,0.015802708454430103,0.03083421941846609,0.523312121629715,0.016267823986709118,
OX40,41,33,8,0.5967566136157874,0.006854732417398029,0.013561350448677937,0.5038160880406698,0.006912735911707084,0.6008559465408325,0.006594451144337654,0.013087084516882896,0.5361250638961792,0.0066395350731909275,
CD4,41,33,8,0.6138235836318044,0.003810427203360531,0.00755243487138715,0.5213312407334646,0.0038253983560328684,0.6156204342842102,0.004480665782466531,0.008887192234396935,0.5323847830295563,0.0044956805650144815,
