channel,n_total,n_train,n_val,train_loss,train_iou,train_dice,train_prec,train_rec,val_loss,val_iou,val_dice,val_prec,val_rec,note
phospho-S6,41,33,8,0.5257082527334039,0.5577436519993676,0.7078478468788995,0.6387712558110555,0.8212017814318339,0.5376271903514862,0.4922807514667511,0.6297303438186646,0.6108622252941132,0.7117159366607666,
H3K9ac,41,33,8,0.4809753488410603,0.5425740910900964,0.6841955582300822,0.7791688376002841,0.6537666718165079,0.5205392837524414,0.39355120062828064,0.5176763236522675,0.7802734673023224,0.4764084815979004,
PD1,41,33,8,0.5790768879832644,0.3463006582525041,0.5073054664664798,0.5832276940345764,0.45959628290600246,0.5839358866214752,0.3547537326812744,0.513548880815506,0.5573003590106964,0.4842081665992737,
Pan-Keratin,41,33,8,0.5889259721293594,0.20788000524044037,0.33358296751976013,0.5738796028825972,0.27035171290238696,0.591323047876358,0.2793886065483093,0.43015439808368683,0.5682502686977386,0.3697037547826767,
Na,41,33,8,0.6467080369140162,0.14460954897933537,0.24370813369750977,0.6229585044913821,0.16724450306759941,0.6268886923789978,0.2083967626094818,0.3308010846376419,0.6205042600631714,0.2370528280735016,
PD-L1,41,33,8,0.5958805445468787,0.12099340392483605,0.20450493858920205,0.5638515088293288,0.14475715657075247,0.5994579792022705,0.1053309254348278,0.18733521550893784,0.5369698107242584,0.11630203202366829,
CD4,41,33,8,0.5898767149809635,0.08969181362125608,0.15342817786667082,0.5953699946403503,0.0968597096701463,0.5945115685462952,0.09776709973812103,0.16869942843914032,0.5887183845043182,0.10489619895815849,
CD31,41,33,8,0.5874306397004561,0.04379576692978541,0.08324030703968471,0.5608307719230652,0.04564221161935064,0.592753529548645,0.055900830775499344,0.10448769479990005,0.555124431848526,0.05843927338719368,
CD20,41,33,8,0.6070080724629489,0.04111304982668824,0.07303067503703965,0.5748283796840243,0.042849967463148966,0.6114020645618439,0.025209492072463036,0.048846255987882614,0.5399618744850159,0.0256912587210536,
CD3,41,33,8,0.6370655099550883,0.003869898384436965,0.007673997742434342,0.5485400325722165,0.003882223662609855,0.6355748772621155,0.004547951277345419,0.00904395617544651,0.5910221636295319,0.004559220978990197,
Ki67,41,33,8,0.6265586090810371,0.0015765597733358543,0.003147525583497352,0.434738642639584,0.0015805063691611092,0.627213180065155,0.0016869176179170609,0.0033674425212666392,0.455188125371933,0.001690336037427187,
